DepComN,NomCN,DepComA,NomCA,annee
61339,Putanges-le-Lac,61378,Sainte-Croix-sur-Orne,2015
61341,Écouves,61341,Radon,2015
61341,Écouves,61175,Forges,2015
61341,Écouves,61509,Vingt-Hanaps,2015
61345,Rémalard en Perche,61345,Rémalard,2015
61345,Rémalard en Perche,61042,Bellou-sur-Huisne,2015
61345,Rémalard en Perche,61147,Dorceau,2015
61460,Sap-en-Auge,61460,Sap (Le),2015
61460,Sap-en-Auge,61320,Orville,2015
61463,Monts d'Andaine (Les),61463,Sauvagère (La),2015
61463,Monts d'Andaine (Les),61428,Saint-Maurice-du-Désert,2015
61483,Bagnoles de l'Orne Normandie,61483,Bagnoles-de-l'Orne,2015
61483,Bagnoles de l'Orne Normandie,61431,Saint-Michel-des-Andaines,2015
61484,Val-au-Perche,61484,Theil (Le),2015
61484,Val-au-Perche,61185,Gémages,2015
61484,Val-au-Perche,61204,Hermitière (L'),2015
61484,Val-au-Perche,61246,Mâle,2015
61484,Val-au-Perche,61356,Rouge (La),2015
61484,Val-au-Perche,61359,Saint-Agnan-sur-Erre,2015
61491,Tourouvre au Perche,61491,Tourouvre,2015
61491,Tourouvre au Perche,61016,Autheuil,2015
61491,Tourouvre au Perche,61045,Bivilliers,2015
61491,Tourouvre au Perche,61059,Bresolettes,2015
61491,Tourouvre au Perche,61065,Bubertré,2015
61491,Tourouvre au Perche,61090,Champs,2015
61491,Tourouvre au Perche,61226,Lignerolles,2015
61491,Tourouvre au Perche,61335,Poterie-au-Perche (La),2015
61491,Tourouvre au Perche,61338,Prépotin,2015
61491,Tourouvre au Perche,61343,Randonnai,2015
62691,Saint-Augustin,62691,Rebecques,2015
62691,Saint-Augustin,62226,Clarques,2015
62757,Saint-Martin-lez-Tatinghem,62757,Saint-Martin-au-Laërt,2015
62757,Saint-Martin-lez-Tatinghem,62807,Tatinghem,2015
63160,Aulhat-Flat,63160,Flat,2015
63160,Aulhat-Flat,63018,Aulhat-Saint-Privat,2015
63244,Chambaron sur Morge,63244,Moutade (La),2015
63244,Chambaron sur Morge,63068,Cellule,2015
63255,Nonette-Orsonnette,63255,Nonette,2015
63255,Nonette-Orsonnette,63266,Orsonnette,2015
65192,Gavarnie-Gèdre,65192,Gèdre,2015
65192,Gavarnie-Gèdre,65188,Gavarnie,2015
65282,Loudenvielle,65282,Loudenvielle,2015
65282,Loudenvielle,65027,Armenteule,2015
67004,Sommerau,67004,Allenwiller,2015
67004,Sommerau,67041,Birkenwald,2015
67004,Sommerau,67431,Salenthal,2015
67004,Sommerau,67469,Singrist,2015
67372,Val de Moder,67372,Pfaffenhoffen,2015
67372,Val de Moder,67496,Uberach,2015
67372,Val de Moder,67512,Walck (La),2015
67495,Truchtersheim,67495,Truchtersheim,2015
67495,Truchtersheim,67374,Pfettisheim,2015
67539,Wingersheim les Quatre Bans,67539,Wingersheim,2015
67539,Wingersheim les Quatre Bans,67158,Gingsheim,2015
67539,Wingersheim les Quatre Bans,67207,Hohatzenheim,2015
67539,Wingersheim les Quatre Bans,67297,Mittelhausen,2015
68006,Bernwiller,68006,Ammerzwiller,2015
68006,Bernwiller,68031,Bernwiller,2015
68012,Aspach-Michelbach,68012,Aspach-le-Haut,2015
68012,Aspach-Michelbach,68206,Michelbach,2015
68056,Brunstatt-Didenheim,68056,Brunstatt,2015
68056,Brunstatt-Didenheim,68070,Didenheim,2015
68143,Porte du Ried,68143,Holtzwihr,2015
68143,Porte du Ried,68272,Riedwihr,2015
68162,Kaysersberg Vignoble,68162,Kaysersberg,2015
68162,Kaysersberg Vignoble,68164,Kientzheim,2015
68162,Kaysersberg Vignoble,68310,Sigolsheim,2015
68201,Masevaux-Niederbruck,68201,Masevaux,2015
68201,Masevaux-Niederbruck,68233,Niederbruck,2015
68219,Haut Soultzbach (Le),68219,Mortzwiller,2015
68219,Haut Soultzbach (Le),68314,Soppe-le-Haut,2015
68240,Illtal,68240,Oberdorf,2015
68240,Illtal,68108,Grentzingen,2015
68240,Illtal,68133,Henflingen,2015
68320,Spechbach,68320,Spechbach-le-Haut,2015
68320,Spechbach,68319,Spechbach-le-Bas,2015
69066,Cours,69066,Cours-la-Ville,2015
69066,Cours,69158,Pont-Trambouze,2015
69066,Cours,69247,Thel,2015
70418,Romaine (La),70418,Pont-de-Planches (Le),2015
