id,codeCommune,libelleCommune,codeDepartement,libelleDepartement,actual,dateEffet,effet,mod,tmod,libelle,modification,etat,langue,typeProduit,rubrique,tncc,typeModification
5284783,01430,Varambon,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Varambon passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Nantua (014).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284784,01450,Villieu-Loyes-Mollon,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Villieu-Loyes-Mollon passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5283075,01015,Arbignieu,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Arbignieu devient commune déléguée (chef-lieu) au sein d'Arboys en Bugey (01015) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283076,01015,Arboys en Bugey,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle d'Arboys en Bugey en lieu et place des communes d'Arbignieu (01015) et de Saint-Bois (01340) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283077,01080,Champdor,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Champdor devient commune déléguée (chef-lieu) au sein de Champdor-Corcelles (01080) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283078,01080,Champdor-Corcelles,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Champdor-Corcelles en lieu et place des communes de Champdor (01080) et de Corcelles (01119) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283079,01119,Corcelles,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Corcelles devient commune déléguée au sein de Champdor-Corcelles (01080) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283080,01137,Cuisiat,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,La commune associée de Cuisiat devient commune déléguée au sein de Val-Revermont (01426) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283081,01176,Grand-Abergement,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Le Grand-Abergement devient commune déléguée au sein de Haut Valromey (01187) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283082,01176,Grand-Abergement,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,ME,"Le Grand-Abergement passe de l'arrondissement de Nantua (014) a l'arrondissement de Belley (011), suite à création de commune nouvelle.","Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
